age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
56,blue-collar,divorced,basic.4y,no,no,no,cellular,nov,thu,134,1,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5,yes
43,admin.,married,high.school,no,no,no,cellular,jul,tue,215,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
27,admin.,single,professional.course,no,yes,no,cellular,jul,tue,1061,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
48,blue-collar,married,basic.4y,no,yes,no,telephone,jul,tue,563,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
52,services,married,unknown,unknown,no,no,telephone,may,tue,144,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
46,self-employed,married,university.degree,no,yes,no,cellular,aug,thu,148,2,999,0,nonexistent,-2.9,92.201,-31.4,0.829,5076.2,no
31,blue-collar,married,high.school,unknown,yes,no,telephone,may,tue,27,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
51,housemaid,married,basic.4y,no,yes,no,telephone,jul,thu,179,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
32,management,single,professional.course,no,no,no,cellular,may,fri,194,3,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
31,technician,married,professional.course,no,yes,no,cellular,aug,thu,58,1,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
32,management,single,university.degree,no,yes,no,cellular,mar,mon,75,2,999,0,nonexistent,-1.8,92.843,-50,1.703,5099.1,no
34,technician,divorced,professional.course,no,yes,no,cellular,apr,fri,122,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
33,blue-collar,married,high.school,no,yes,no,telephone,may,wed,186,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
51,admin.,single,university.degree,unknown,no,no,cellular,nov,fri,224,2,999,1,failure,-0.1,93.2,-42,4.021,5195.8,no
31,services,married,high.school,no,no,no,telephone,may,fri,1269,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,yes
42,admin.,married,university.degree,no,no,yes,cellular,aug,fri,81,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
25,admin.,single,high.school,no,yes,no,cellular,jul,thu,418,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
30,technician,divorced,high.school,no,no,no,cellular,aug,thu,494,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
46,admin.,single,high.school,no,yes,yes,cellular,may,mon,65,2,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,no
52,entrepreneur,married,basic.9y,unknown,yes,no,cellular,jul,mon,387,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
36,self-employed,single,university.degree,no,no,no,cellular,oct,fri,480,1,999,0,nonexistent,-3.4,92.431,-26.9,0.72,5017.5,yes
57,technician,married,university.degree,no,no,no,cellular,may,mon,200,6,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
51,admin.,married,university.degree,no,no,yes,cellular,jul,fri,486,1,999,0,nonexistent,-1.7,94.215,-40.3,0.861,4991.6,yes
29,admin.,single,university.degree,no,no,no,telephone,may,thu,141,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
30,housemaid,married,basic.6y,no,yes,no,cellular,aug,mon,249,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
44,management,married,basic.9y,no,yes,no,cellular,aug,tue,284,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
30,blue-collar,single,basic.9y,no,yes,no,cellular,jul,mon,89,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
40,services,divorced,high.school,no,yes,no,cellular,jul,tue,256,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
31,admin.,married,basic.9y,no,no,no,telephone,may,thu,112,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
28,admin.,single,high.school,no,no,no,telephone,oct,wed,958,1,999,0,nonexistent,-3.4,92.431,-26.9,0.742,5017.5,yes
28,technician,married,basic.9y,no,no,no,telephone,may,tue,472,2,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no
36,unemployed,single,basic.4y,unknown,no,no,telephone,may,fri,122,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
51,blue-collar,married,basic.4y,unknown,yes,no,telephone,jul,thu,38,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
51,retired,divorced,basic.4y,no,yes,yes,cellular,nov,mon,94,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
31,blue-collar,single,basic.4y,no,yes,no,cellular,jul,thu,133,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
40,blue-collar,married,basic.4y,unknown,no,no,telephone,may,wed,267,7,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
27,blue-collar,married,basic.9y,unknown,yes,no,cellular,apr,mon,294,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
54,services,divorced,high.school,no,no,no,cellular,oct,wed,268,1,999,1,failure,-1.1,94.601,-49.5,1.016,4963.6,no
58,retired,married,high.school,no,yes,no,cellular,jul,thu,245,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
51,admin.,married,high.school,no,yes,no,cellular,nov,tue,109,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
37,blue-collar,married,basic.6y,no,yes,no,cellular,jul,mon,108,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
43,housemaid,married,basic.4y,no,yes,no,cellular,jul,wed,97,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
43,admin.,single,high.school,no,no,no,telephone,jun,mon,198,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
58,retired,married,basic.4y,no,no,no,cellular,jul,tue,114,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
57,housemaid,married,basic.4y,no,yes,yes,cellular,nov,fri,75,1,999,1,failure,-0.1,93.2,-42,4.021,5195.8,no
66,retired,married,unknown,no,no,no,cellular,sep,tue,332,5,999,0,nonexistent,-1.1,94.199,-37.5,0.881,4963.6,no
33,admin.,married,unknown,no,yes,no,telephone,may,wed,108,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
62,technician,married,unknown,no,no,no,cellular,mar,mon,104,2,3,2,success,-1.8,93.369,-34.8,0.646,5008.7,yes
37,admin.,divorced,university.degree,no,no,no,telephone,jun,mon,147,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
42,admin.,married,high.school,no,yes,no,cellular,may,tue,111,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
56,admin.,divorced,basic.9y,unknown,yes,no,telephone,may,thu,42,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
29,admin.,divorced,university.degree,no,yes,yes,cellular,aug,thu,120,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
37,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,thu,364,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
40,self-employed,married,basic.9y,no,yes,yes,cellular,apr,mon,64,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
33,technician,single,university.degree,no,yes,no,cellular,mar,tue,325,1,999,0,nonexistent,-1.8,92.843,-50,1.614,5099.1,no
38,technician,single,professional.course,no,no,no,cellular,jul,tue,815,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
35,technician,married,high.school,no,no,yes,cellular,nov,wed,470,2,999,1,failure,-0.1,93.2,-42,4.12,5195.8,no
38,technician,married,professional.course,no,no,no,cellular,apr,mon,277,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
44,blue-collar,married,basic.9y,no,yes,no,cellular,jul,thu,121,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
33,blue-collar,married,basic.9y,unknown,no,no,telephone,may,thu,413,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
28,student,single,high.school,no,unknown,unknown,cellular,may,thu,97,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
29,self-employed,single,university.degree,no,yes,no,cellular,jul,wed,26,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
30,technician,single,professional.course,no,yes,no,cellular,aug,fri,358,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
40,services,married,basic.6y,unknown,no,no,telephone,may,mon,199,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,blue-collar,married,high.school,unknown,yes,yes,telephone,jul,mon,281,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
39,technician,divorced,university.degree,no,no,no,cellular,jul,mon,179,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
50,blue-collar,married,basic.9y,no,yes,yes,cellular,aug,mon,68,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
33,technician,married,high.school,no,yes,no,cellular,aug,mon,119,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
55,admin.,divorced,university.degree,no,no,no,telephone,jun,tue,143,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
30,unemployed,single,university.degree,no,yes,no,cellular,apr,wed,400,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
30,admin.,single,university.degree,no,yes,no,cellular,aug,wed,105,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
36,self-employed,married,university.degree,no,yes,no,cellular,may,mon,414,2,999,1,failure,-1.8,92.893,-46.2,1.264,5099.1,yes
52,entrepreneur,married,basic.9y,no,yes,yes,telephone,may,fri,390,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
36,admin.,married,university.degree,no,yes,no,cellular,may,wed,128,3,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
34,admin.,single,unknown,no,yes,no,cellular,may,thu,473,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
35,management,married,university.degree,no,yes,no,telephone,nov,fri,24,1,999,0,nonexistent,-0.1,93.2,-42,4.223,5195.8,no
21,admin.,single,high.school,no,yes,no,cellular,jul,wed,102,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
42,blue-collar,married,basic.9y,no,yes,no,telephone,jun,mon,88,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
34,admin.,married,professional.course,no,no,yes,telephone,mar,thu,364,2,999,1,failure,-1.8,93.369,-34.8,0.654,5008.7,no
56,management,married,university.degree,no,yes,yes,telephone,may,wed,136,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
44,blue-collar,single,basic.4y,no,no,no,telephone,jun,mon,128,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
35,admin.,married,high.school,no,no,no,cellular,nov,tue,72,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
37,technician,married,professional.course,no,yes,no,cellular,aug,mon,393,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
38,blue-collar,married,basic.4y,unknown,no,no,telephone,may,wed,76,9,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
35,unemployed,single,university.degree,no,no,no,cellular,aug,mon,386,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
65,retired,married,high.school,no,yes,no,cellular,oct,tue,384,2,999,0,nonexistent,-3.4,92.431,-26.9,0.744,5017.5,yes
34,technician,married,high.school,no,yes,no,cellular,jul,thu,210,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
34,technician,single,university.degree,no,yes,no,cellular,aug,tue,436,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
31,technician,married,university.degree,no,yes,no,cellular,nov,wed,124,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
38,admin.,married,high.school,no,yes,no,telephone,jun,mon,169,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
54,technician,married,professional.course,no,no,no,cellular,jul,fri,796,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
58,admin.,divorced,university.degree,no,no,no,telephone,may,wed,245,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
50,entrepreneur,married,high.school,no,yes,yes,cellular,may,fri,1326,6,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
36,admin.,married,university.degree,no,no,no,telephone,jun,mon,199,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
58,retired,married,professional.course,no,no,no,cellular,aug,wed,135,7,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
47,blue-collar,married,unknown,unknown,no,no,telephone,aug,thu,753,13,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,yes
56,admin.,divorced,unknown,unknown,no,no,telephone,may,mon,114,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,blue-collar,single,basic.9y,unknown,no,no,telephone,jun,mon,411,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
45,blue-collar,married,professional.course,no,yes,no,cellular,aug,thu,105,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
24,services,single,basic.9y,no,yes,yes,cellular,may,fri,68,4,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
26,admin.,single,university.degree,no,no,no,cellular,aug,mon,242,1,6,5,success,-1.7,94.027,-38.3,0.904,4991.6,yes
33,blue-collar,married,professional.course,no,yes,no,telephone,may,fri,15,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
39,blue-collar,married,basic.6y,no,yes,no,telephone,may,tue,163,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
58,management,married,university.degree,no,no,no,cellular,may,mon,248,1,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,no
48,housemaid,married,basic.9y,no,yes,no,cellular,aug,tue,137,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
54,technician,married,high.school,unknown,no,no,cellular,jul,thu,1756,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
30,technician,single,university.degree,unknown,no,no,telephone,may,tue,106,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
34,admin.,married,university.degree,no,no,no,cellular,may,fri,190,1,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,no
51,blue-collar,married,basic.9y,unknown,yes,yes,cellular,aug,thu,129,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
39,technician,married,high.school,no,no,no,cellular,jul,wed,188,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
30,admin.,single,high.school,no,yes,no,telephone,jul,mon,742,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
37,blue-collar,married,basic.6y,no,no,no,cellular,may,fri,78,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
24,student,single,basic.9y,no,yes,no,cellular,apr,tue,252,1,999,1,failure,-1.8,93.749,-34.6,0.646,5008.7,no
40,technician,married,university.degree,no,no,no,telephone,may,fri,417,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
26,admin.,married,high.school,no,yes,yes,cellular,oct,mon,126,1,999,0,nonexistent,-3.4,92.431,-26.9,0.731,5017.5,no
40,blue-collar,married,basic.4y,no,no,no,cellular,may,thu,104,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
33,technician,single,high.school,no,no,no,telephone,may,tue,214,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
50,admin.,divorced,basic.9y,no,yes,yes,cellular,jul,mon,68,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
45,technician,married,university.degree,no,yes,no,telephone,may,fri,240,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
30,blue-collar,single,basic.4y,unknown,yes,yes,cellular,jul,mon,213,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
40,technician,divorced,high.school,no,yes,yes,cellular,nov,wed,243,2,999,1,failure,-0.1,93.2,-42,4.12,5195.8,no
36,services,married,high.school,unknown,no,no,cellular,jul,mon,455,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
32,technician,single,professional.course,no,no,no,cellular,aug,fri,87,1,999,0,nonexistent,-2.9,92.201,-31.4,0.881,5076.2,yes
37,services,single,professional.course,no,yes,no,cellular,may,fri,241,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
24,blue-collar,single,basic.9y,no,no,no,telephone,may,tue,282,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,services,married,high.school,no,yes,no,telephone,may,thu,399,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
32,admin.,divorced,university.degree,no,yes,no,cellular,jul,thu,668,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
40,blue-collar,divorced,basic.9y,no,no,no,cellular,nov,fri,586,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
29,admin.,single,high.school,no,yes,yes,telephone,may,wed,167,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
30,technician,married,professional.course,unknown,yes,no,cellular,aug,thu,159,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
38,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,289,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
30,self-employed,single,university.degree,no,yes,no,telephone,jun,tue,2621,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes
35,self-employed,married,university.degree,no,yes,no,telephone,jul,thu,172,5,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
30,blue-collar,single,basic.9y,unknown,yes,no,cellular,apr,mon,145,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
29,entrepreneur,married,professional.course,no,no,no,cellular,jul,wed,736,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
32,admin.,married,high.school,no,no,no,cellular,jul,mon,549,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
59,housemaid,divorced,university.degree,no,no,no,cellular,jul,tue,367,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
30,services,married,university.degree,no,yes,no,cellular,may,mon,109,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
33,admin.,divorced,university.degree,no,unknown,unknown,telephone,may,thu,213,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
56,admin.,married,university.degree,no,unknown,unknown,cellular,jul,fri,41,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
44,self-employed,married,professional.course,no,unknown,unknown,cellular,aug,fri,179,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
29,admin.,single,university.degree,no,no,no,cellular,aug,thu,12,15,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
33,services,married,basic.9y,unknown,yes,no,telephone,jul,wed,25,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
36,admin.,married,university.degree,no,yes,no,telephone,may,fri,322,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
33,services,divorced,high.school,no,no,yes,cellular,nov,thu,98,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
37,self-employed,married,university.degree,no,yes,no,cellular,nov,fri,48,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
39,admin.,single,unknown,no,no,no,cellular,jul,thu,99,10,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
35,technician,married,university.degree,no,yes,no,cellular,aug,wed,560,1,999,0,nonexistent,-1.7,94.027,-38.3,0.9,4991.6,yes
59,retired,married,basic.4y,no,no,yes,telephone,jul,thu,22,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
42,admin.,married,professional.course,no,yes,no,cellular,may,mon,458,3,9,2,failure,-1.8,92.893,-46.2,1.354,5099.1,yes
35,technician,single,basic.9y,no,yes,yes,cellular,nov,wed,62,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
33,technician,divorced,professional.course,no,yes,no,cellular,nov,thu,104,3,999,1,failure,-0.1,93.2,-42,4.076,5195.8,no
52,services,divorced,basic.4y,no,yes,no,cellular,jun,tue,80,3,999,1,failure,-2.9,92.963,-40.8,1.262,5076.2,no
41,blue-collar,married,professional.course,unknown,no,no,cellular,apr,fri,247,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
36,blue-collar,married,professional.course,unknown,yes,no,telephone,jun,fri,324,5,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
44,services,married,high.school,unknown,no,no,cellular,nov,tue,43,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
36,entrepreneur,married,university.degree,unknown,no,no,telephone,may,tue,152,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,unknown,married,unknown,unknown,yes,no,telephone,may,mon,325,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
53,technician,married,unknown,no,no,no,telephone,jun,fri,51,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
29,services,single,high.school,no,yes,yes,cellular,jun,wed,431,2,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,yes
49,technician,married,basic.9y,no,no,no,telephone,may,mon,1467,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
36,admin.,married,high.school,no,no,no,cellular,jul,mon,74,7,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
